Date,Last Price
2023-11-20,
2023-11-17,0.752
2023-11-16,0.785
2023-11-15,0.797
2023-11-14,0.855
2023-11-13,0.865
2023-11-10,0.845
2023-11-09,0.833
2023-11-08,0.853
2023-11-07,0.879
2023-11-06,0.877
2023-11-02,0.92
2023-11-01,0.952
2023-10-31,0.941
2023-10-30,0.887
2023-10-27,0.875
2023-10-26,0.87
2023-10-25,0.854
2023-10-24,0.84
2023-10-23,0.865
2023-10-20,0.835
2023-10-19,0.835
2023-10-18,0.804
2023-10-17,0.776
2023-10-16,0.755
2023-10-13,0.755
2023-10-12,0.753
2023-10-11,0.762
2023-10-10,0.777
2023-10-06,0.799
2023-10-05,0.805
2023-10-04,0.804
2023-10-03,0.762
2023-10-02,0.771
2023-09-29,0.759
2023-09-28,0.755
2023-09-27,0.734
2023-09-26,0.735
2023-09-25,0.73
2023-09-22,0.736
2023-09-21,0.738
2023-09-20,0.721
2023-09-19,0.712
2023-09-15,0.709
2023-09-14,0.71
2023-09-13,0.707
2023-09-12,0.704
2023-09-11,0.702
2023-09-08,0.65
2023-09-07,0.652
2023-09-06,0.654
2023-09-05,0.653
2023-09-04,0.639
2023-09-01,0.627
2023-08-31,0.645
2023-08-30,0.646
2023-08-29,0.647
2023-08-28,0.658
2023-08-25,0.654
2023-08-24,0.649
2023-08-23,0.669
2023-08-22,0.66
2023-08-21,0.644
2023-08-18,0.629
2023-08-17,0.641
2023-08-16,0.624
2023-08-15,0.627
2023-08-14,0.607
2023-08-10,0.579
2023-08-09,0.579
2023-08-08,0.603
2023-08-07,0.625
2023-08-04,0.642
2023-08-03,0.646
2023-08-02,0.621
2023-08-01,0.599
2023-07-31,0.599
2023-07-28,0.556
2023-07-27,0.443
2023-07-26,0.448
2023-07-25,0.46
2023-07-24,0.454
2023-07-21,0.441
2023-07-20,0.46
2023-07-19,0.461
2023-07-18,0.475
2023-07-14,0.474
2023-07-13,0.467
2023-07-12,0.467
2023-07-11,0.452
2023-07-10,0.456
2023-07-07,0.421
2023-07-06,0.407
2023-07-05,0.387
2023-07-04,0.378
2023-07-03,0.398
2023-06-30,0.394
2023-06-29,0.383
2023-06-28,0.382
2023-06-27,0.366
2023-06-26,0.353
2023-06-23,0.361
2023-06-22,0.371
2023-06-21,0.375
2023-06-20,0.385
2023-06-19,0.392
2023-06-16,0.404
2023-06-15,0.421
2023-06-14,0.425
2023-06-13,0.417
2023-06-12,0.423
2023-06-09,0.421
2023-06-08,0.431
2023-06-07,0.421
2023-06-06,0.42
2023-06-05,0.427
2023-06-02,0.408
2023-06-01,0.418
2023-05-31,0.43
2023-05-30,0.428
2023-05-29,0.434
2023-05-26,0.414
2023-05-25,0.421
2023-05-24,0.407
2023-05-23,0.396
2023-05-22,0.387
2023-05-19,0.392
2023-05-18,0.377
2023-05-17,0.364
2023-05-16,0.392
2023-05-15,0.401
2023-05-12,0.384
2023-05-11,0.392
2023-05-10,0.414
2023-05-09,0.419
2023-05-08,0.413
2023-05-02,0.414
2023-05-01,0.4
2023-04-28,0.385
2023-04-27,0.459
2023-04-26,0.458
2023-04-25,0.472
2023-04-24,0.465
2023-04-21,0.466
2023-04-20,0.465
2023-04-19,0.476
2023-04-18,0.469
2023-04-17,0.479
2023-04-14,0.459
2023-04-13,0.455
2023-04-12,0.462
2023-04-11,0.452
2023-04-10,0.461
2023-04-07,0.457
2023-04-06,0.461
2023-04-05,0.468
2023-04-04,0.404
2023-04-03,0.37
2023-03-31,0.328
2023-03-30,0.313
2023-03-29,0.299
2023-03-28,0.313
2023-03-27,0.289
2023-03-24,0.28
2023-03-23,0.299
2023-03-22,0.323
2023-03-20,0.245
2023-03-17,0.284
2023-03-16,0.268
